Date,Revenue
7/06/20 0:00,21046.91
7/07/20 0:00,10016.79
7/08/20 0:00,9427.47
7/09/20 0:00,7856.1
7/10/20 0:00,4880.34
7/11/20 0:00,11158.36
7/12/20 0:00,9515.19
7/13/20 0:00,4110.69
7/14/20 0:00,7318.21
7/15/20 0:00,8903.25
7/16/20 0:00,10434.98
7/17/20 0:00,7084.56
7/18/20 0:00,4166.64
7/19/20 0:00,6503.7
7/20/20 0:00,10503.79
7/21/20 0:00,12285.94
7/22/20 0:00,1782.35
7/23/20 0:00,15132.24
7/24/20 0:00,23396.05
7/25/20 0:00,14132.27
7/26/20 0:00,4038.2
7/27/20 0:00,17667.35
7/28/20 0:00,17046.08
7/29/20 0:00,8731.99
7/30/20 0:00,4693.49
7/31/20 0:00,11198.6
8/01/20 0:00,17772.3
8/02/20 0:00,16852.09
8/03/20 0:00,14504.3
8/04/20 0:00,21272.98
8/05/20 0:00,16773.9
8/06/20 0:00,16694.7
8/07/20 0:00,15098.2
8/08/20 0:00,23251.53
8/09/20 0:00,25499.43
8/10/20 0:00,7735.96
8/11/20 0:00,8464.54
8/12/20 0:00,11528.88
8/13/20 0:00,9331.83
8/14/20 0:00,3980.44
8/15/20 0:00,10475.84
8/16/20 0:00,8497.47
8/17/20 0:00,13486.69
8/18/20 0:00,4334.3
8/19/20 0:00,7164.22
8/20/20 0:00,21432.31
8/21/20 0:00,11322.8
8/22/20 0:00,5778.37
8/23/20 0:00,8247.24
8/24/20 0:00,7716.71
8/25/20 0:00,4401.09
8/26/20 0:00,7971.9
8/27/20 0:00,6069.51
8/28/20 0:00,14171.52
8/29/20 0:00,15652.32
8/30/20 0:00,11910.6
8/31/20 0:00,7704.18
9/01/20 0:00,11815.37
9/02/20 0:00,11926.13
9/03/20 0:00,11890.86
9/04/20 0:00,12076.41
9/05/20 0:00,11518.59
9/06/20 0:00,26722.46
9/07/20 0:00,13976.04
9/08/20 0:00,21977.94
9/09/20 0:00,10262.2
9/10/20 0:00,1761.87
9/11/20 0:00,7190.05
9/12/20 0:00,5493.11
9/13/20 0:00,7724.71
9/14/20 0:00,1769.81
9/15/20 0:00,3021.92
